"";"scenario";"ID";"station";"deficit30";"duration30";"count30";"intensity30"
"111";"rcp8p5";7;7004;0,94183096190893;6;0;0,151908219662731
"112";"historical";8;7004;0,016977250200118;0;0;0,0339545004002361
"113";"rcp8p5";8;7004;0,144622666677007;4;0;0,032868787881138
"114";"historical";9;7004;0,0410578137215023;0;0;0,0492693764658028
"115";"rcp8p5";9;7004;0,162323190833348;3;0;0,0416213309829099
"116";"rcp8p5";10;7004;0,0850041916287778;1;0;0,0621981889966667
"117";"historical";16;7004;4,89049457273225;36;6;0,134354246503633
"118";"rcp8p5";16;7004;5,50416511781157;40;7;0,135348322569137
"119";"historical";17;7004;6,31073798141541;42;6;0,148139389235104
"120";"rcp8p5";17;7004;11,5104311499831;67;8;0,17120125656891
"121";"historical";18;7004;6,40379225037087;44;6;0,142411984811806
"122";"rcp8p5";18;7004;10,3598768792319;64;8;0,16078443164871
"123";"historical";19;7004;6,57816916937838;41;5;0,158892975105758
"124";"rcp8p5";19;7004;7,86722550740599;52;7;0,15013789136271
"125";"historical";20;7004;5,02500255091951;40;7;0,123972102407554
"126";"rcp8p5";20;7004;9,57704043932905;61;7;0,156487588877926
"127";"historical";16;8004;32,65283253036;46;9;0,697710096802564
"128";"rcp8p5";16;8004;20,6538470192847;34;8;0,599821307433245
"129";"historical";17;8004;47,9507245298848;54;9;0,881987575656986
"130";"rcp8p5";17;8004;66,8595309200361;75;10;0,883606135507084
"131";"historical";18;8004;36,444639811648;52;9;0,690675422836032
"132";"rcp8p5";18;8004;48,7958091850239;69;13;0,701425144010885
"133";"historical";19;8004;32,0199394976509;46;8;0,69357269670002
"134";"rcp8p5";19;8004;30,1840219453411;47;8;0,637241842618039
"135";"historical";20;8004;25,1232677215265;41;9;0,600078050673404
"136";"rcp8p5";20;8004;36,8107563558746;57;10;0,640558405264639
"137";"historical";1;8005;0,203287755470348;1;0;0,184807050427589
"138";"rcp8p5";1;8005;0,330039763269123;1;0;0,186814960341013
"139";"historical";2;8005;0,075035577513104;0;0;0,150071155026208
