"";"station";"variable";"p5";"p25";"p50";"p75";"p95"
"200";23001;"intensity30";-5,21728833091575;2,35637689290801;6,58045775536166;11,6296315709985;Inf
"201";23004;"deficit30";-20,5429104884372;-0,430217104277947;24,7709202367416;50,262100371755;Inf
"202";23004;"duration30";-8,5;-1;0,5;12,5;17,5
"203";23004;"count30";-1;-0,75;0,5;1;1,75
"204";23004;"intensity30";-3,87330675530553;1,14966485411679;6,92779590221393;12,2558545994824;Inf
"205";23006;"deficit30";-17,5294033880641;0,196245313219871;27,6163876261103;59,9610362546455;Inf
"206";23006;"duration30";-6,75;0;0,5;13,75;20,25
"207";23006;"count30";-1;-1;-0,5;0,75;1,75
"208";23006;"intensity30";-2,75438167188281;1,12366504701933;7,59215043595676;10,2494220365782;Inf
"209";23011;"deficit30";-21,5242145058155;-3,5607267233963;26,5116209353977;49,1012088639973;Inf
"210";23011;"duration30";-8,5;-0,5;1,5;11,75;19,5
"211";23011;"count30";-0,75;0;0;0,75;1
"212";23011;"intensity30";-5,2490852188558;-2,20360807191519;5,0224065515298;9,47335233074658;Inf
"213";24009;"deficit30";-14,3746274629155;12,3925941405587;13,3571641650422;59,667137883252;67,536449300789
"214";24009;"duration30";-6;2;3;18;22,8
"215";24009;"count30";0;0;1;3;3
"216";24009;"intensity30";-0,393583641398901;3,36424611192554;7,29097499311715;9,72353423300265;10,2213759557583
"217";25001;"deficit30";-25,3276028083902;-6,4031448995004;23,0636300085942;41,4949974299623;Inf
"218";25001;"duration30";-12;-6,25;4,5;14,5;19,25
"219";25001;"count30";-1;-1;-0,5;0;0,75
"220";25001;"intensity30";-8,83722920179894;0,675815400437726;6,9925226371128;8,65147676744249;Inf
"221";25005;"deficit30";-36,0682002785603;10,712816748717;76,9934285639703;Inf;Inf
"222";25005;"duration30";-13,2;-2;4;10,75;30,7
"223";25005;"count30";-2,95;-0,25;0;2,5;4
"224";25005;"intensity30";-9,70411286833487;1,34588452753413;9,32900486615138;Inf;Inf
"225";27002;"deficit30";-27,1063532343232;-13,239632509061;14,3463397517082;37,3991254851765;41,2026017645693
"226";27002;"duration30";-10,6;-5;2;17;19,4
"227";27002;"count30";-1;-1;0;1;1
"228";27002;"intensity30";-11,2236367332182;-6,5350186446128;5,92443594672198;8,66756910989354;10,2734934172302
